,Partitia optimala,Partitia cu 3 clusteri
tr,Cluster 2,Cluster 2
cl,Cluster 1,Cluster 3
sj,Cluster 1,Cluster 3
gr,Cluster 2,Cluster 1
ot,Cluster 2,Cluster 2
nt,Cluster 2,Cluster 1
hr,Cluster 1,Cluster 3
bt,Cluster 1,Cluster 3
cv,Cluster 1,Cluster 3
ms,Cluster 1,Cluster 3
il,Cluster 1,Cluster 3
vl,Cluster 2,Cluster 2
bz,Cluster 2,Cluster 1
cj,Cluster 2,Cluster 1
dj,Cluster 2,Cluster 1
ph,Cluster 2,Cluster 1
hd,Cluster 2,Cluster 2
mm,Cluster 1,Cluster 3
bc,Cluster 1,Cluster 3
vn,Cluster 1,Cluster 3
br,Cluster 2,Cluster 2
vs,Cluster 1,Cluster 3
ag,Cluster 2,Cluster 1
gj,Cluster 2,Cluster 1
bh,Cluster 1,Cluster 3
mh,Cluster 2,Cluster 1
db,Cluster 1,Cluster 3
sv,Cluster 1,Cluster 3
bn,Cluster 1,Cluster 3
ab,Cluster 2,Cluster 1
sm,Cluster 1,Cluster 3
cs,Cluster 2,Cluster 2
gl,Cluster 2,Cluster 1
ar,Cluster 2,Cluster 1
if,Cluster 1,Cluster 3
sb,Cluster 1,Cluster 3
is,Cluster 1,Cluster 3
tm,Cluster 1,Cluster 3
ct,Cluster 1,Cluster 3
tl,Cluster 2,Cluster 1
bv,Cluster 1,Cluster 3
b,Cluster 2,Cluster 1
